Dia,Mes,Anio,P304,P311,P313,CODIGO_PERSONA,TIENE_SEGURO,P402,P408_1,P408_2,P408_3,P408_6,NOMBDEPA,NOMBPROV,NOMBDIST,P501,P504,P601,P609,P627,P703,P706,P807,Sexo,Edad,Migro_de_venezuela,P701
12,6,1990,1,1,1,1.0401E+20,5,2,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,8,2,1,,1,2,2,2,1,28,1,2
7,2,1993,1,1,1,1.0401E+20,5,2,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,10,2,1,,2,2,2,2,2,25,1,2
15,9,1973,1,1,1,1.0401E+20,5,2,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,6,2,1,,1,2,2,2,1,45,1,2
9,7,1994,1,1,1,1.0401E+20,5,2,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,8,2,1,,2,2,2,2,1,24,1,1
6,3,1986,1,2,1,1.0401E+20,5,2,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,10,2,1,,2,2,2,2,1,32,1,1
12,6,1995,1,1,1,1.0401E+20,5,2,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,9,2,1,,1,2,2,2,1,23,1,2
14,12,1975,1,1,2,1.0401E+20,5,2,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,10,2,1,,1,2,2,2,1,42,1,2
9,9,1977,1,1,2,1.0401E+20,5,2,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,10,2,1,,1,2,2,2,2,41,1,1
20,11,1999,1,1,2,1.0401E+20,5,2,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,6,2,1,,2,2,2,2,1,19,1,1
16,3,2000,1,1,1,1.0401E+20,5,2,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,6,2,1,,2,2,2,2,2,18,1,1
7,3,1981,1,1,1,1.0401E+20,5,2,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,6,2,1,2,1,2,2,2,1,37,1,1
30,11,1988,1,1,1,1.0401E+20,5,2,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,10,2,1,2,1,2,2,2,1,30,1,1
9,12,1992,1,1,1,1.0401E+20,5,2,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,10,2,1,2,1,2,2,2,2,25,1,2
12,6,1983,1,1,1,1.0401E+20,5,2,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,10,2,1,2,1,2,2,2,1,35,1,1
15,4,1990,1,1,1,1.0401E+20,5,2,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,10,2,1,2,1,2,2,2,2,28,1,2
13,12,1959,1,1,1,1.0401E+20,5,2,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,6,2,1,2,2,2,2,2,1,58,1,2
26,6,1997,1,1,1,1.0401E+20,5,2,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,6,2,1,2,2,2,2,2,1,21,1,2
17,5,2000,1,1,1,1.0401E+20,5,2,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,9,2,1,2,2,2,2,2,2,18,1,2
22,10,1993,1,1,1,1.0401E+20,5,2,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,10,2,1,2,1,2,2,2,1,25,1,2
17,9,1991,1,1,1,1.0401E+20,5,2,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,11,2,1,2,1,2,2,2,2,27,1,1
9,9,1976,1,2,1,1.0401E+20,5,2,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,10,2,1,2,1,2,2,1,1,42,1,2
30,12,1985,1,2,1,1.0401E+20,5,2,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,10,2,1,2,1,2,2,1,2,32,1,2
2,8,1994,1,1,1,1.0401E+20,5,2,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,10,2,1,2,1,2,2,1,1,24,1,1
15,8,1988,1,1,1,1.0401E+20,5,2,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,10,2,1,2,1,2,1,2,1,30,1,2
23,12,1988,1,1,1,1.0401E+20,5,1,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,8,2,1,2,1,2,2,2,2,29,1,1
28,10,1999,1,1,1,1.0401E+20,5,2,2,2,2,2,AREQUIPA,AREQUIPA,AREQUIPA,9,2,1,2,2,2,2,1,1,19,1,2
